ticker
AAPL
ABBV
ABT
ACN
ADBE
ADI
ADP
ADSK
AEP
AFL
AIG
AMAT
AMD
AMGN
AMZN
AON
APD
AVGO
AXP
BA
BAC
BDX
BK
BKNG
BLK
BMY
BRK-B
C
CAT
CCI
CHTR
CI
CL
CMCSA
CME
COF
COP
COST
CRM
CSCO
CVS
CVX
D
DE
DHR
DIS
DOW
DUK
ECL
EL
EMR
EOG
EXC
F
FDX
GD
GE
GILD
GM
GOOG
GS
HD
HON
IBM
ICE
INTC
INTU
ISRG
ITW
JNJ
JPM
KHC
KO
LIN
LLY
LMT
LOW
MA
MCD
MDLZ
MDT
MET
MMC
MMM
MO
MRK
MS
MSFT
NEE
NFLX
NKE
NVDA
ORCL
PEP
PFE
PG
PM
PYPL
QCOM
RTX
SBUX
SCHW
SHW
SLB
SO
SPG
T
TGT
TMO
TMUS
TXN
UNH
UNP
UPS
USB
V
VZ
WBA
WFC
WMT
XOM
